1,DARIUSZ,ZAŁĘSKI
2,AGNIESZKA,DROZDEK
3,ANDRZEJ,WYSOCZYŃSKI
4,KAI,PRZYBYŁA
5,HELENA,KRÓLAK
6,SZYMON,PODSTAWA
7,HALINA,BUREK
8,LESŁAW,WENDA
9,WALDEMAR,ŚWIERCZYŃSKI
10,TERESA,KROP
11,MIKE,GRZEGORSKI
12,PAWEŁ,PASIEKA
13,STEFAN,KOSIŃSKI
14,JOANNA,PIĄTEK
15,ANTONI,JASTRZĘBOWSKI
16,MARIA,WIŚNIEWSKA
17,BARBARA,ŁUKASZ
18,MICHALINA,OLEWNIK
19,IGOR,WOJCIECHOWSKI
20,ZYGMUNT,ZIELIŃSKI
21,KATARZYNA,KAŹMIERSKA
22,GENOWEFA,SUŁECKA
23,KINGA,JAROSZ
24,IWONA,POGWIZD
25,POLA,LESZCZYŃSKA
26,WŁADYSŁAW,ŻUCHEWICZ
27,PAWEŁ,JAGŁA
28,SZYMON,TRUCHAN-SZOSTEK
29,MATEUSZ,JAKUBOWSKI
30,RADOSŁAW,BISKUPSKI
31,WŁADYSŁAW,KULA
32,STANISŁAW,JAROSZ
33,WŁADYSŁAW,FILIPCZAK
34,MIKOŁAJ,WISTUBA
35,WALENTYNA,LICHAŃSKA
36,JADWIGA,GIEJBO
37,WOJCIECH,KOC
38,ELIZA,LUBOJAŃSKA
39,ZOFIA,MAJCHERSKA
40,GRACJAN,BŁAŻKÓW
41,ALEKSANDER,BUKOWSKI
42,ARKADIUSZ,SZAFORZ
43,CZESŁAWA,PRZYBYLSKA
44,MARTA,NOWACKA
45,HALINA,KAZUBEK
46,HALINA,JABŁOŃSKA
47,ALEXANDER,BERNACKI
48,PAWEŁ,SZYDŁOWSKI
49,ALEKSANDRA,PIĄTKA
50,BOGDAN,SŁOMKA
51,BOGDAN,RUMIANTSEV
52,MANUEL,GŁOWACKI
53,NATALIA,REGIEC
54,IRENA,PAWLAK
55,KAMIL,SATAŁA
56,YEVA,PUCHACZ
57,BERNADETA,JABŁOŃSKA
58,WŁODZIMIERZ,KOSZAŁKA
59,JAN,STĘPIEŃ
60,MIROSŁAW,ŁUKASZEK
61,KRZYSZTOF,KIEDOS
62,AMELIA,KOMENDERA
63,PAWEŁ,PASZKOWSKI
64,BOLESŁAW,MANDERLA
65,WŁADYSŁAW,TUREK
66,CEZARY,ROKITA
67,JADWIGA,ŻURAWSKA
68,JÓZEF,ŁUKOWICZ
69,NATALIA,SOCHA
70,DARIUSZ,SYKTUS
71,DOROTA,JAGIEŁŁO
72,DANUTA,ZIELIŃSKA
73,JULIA,KUŁAKOWSKA
74,ADRIAN,HAMROL
75,JAN,ADAMKOWSKI
76,JAKUB,WOŹNIAK
77,MARIUSZ,PRZEPIS
78,RYSZARD,SZOMBARA
79,MATEUSZ,SZMACIŃSKI
80,NATASZA,KASPRZAK
81,MARTA,STĘPNIEWSKA
82,BOŻENA,ZUZIAK
83,SŁAWOMIR,OKRĄGŁY
84,OLENA,PUC
85,EDYTA,HERING
86,WŁADYSŁAW,MILCZANOWSKI
87,RADOSŁAW,JANKOWSKI
88,BARBARA,KAMIŃSKA
89,JAN,ZYGMUNT
90,MARCIN,JĘDRUSIK
91,JANINA,NARLOCH
92,KRYSTYN,JUREWICZ
93,ALEKSANDER,NIEMYJSKI
94,IRENA,BAŃCER
95,MAŁGORZATA,SZYPULSKA
96,MARIA,NAWÓJ
97,MATEUSZ,BREDUN
98,FILIP,LEŚNIEWSKI
99,KAZIMIERZ,RYCAK
100,TOMASZ,BUZES
101,MARIAN,DOMAŃSKI
102,KRYSTYNA,ZELEK
103,ROMAN,OCHENDUSZKO
104,MATEUSZ,BRZEZIŃSKI
105,LUCJAN,DUDEK
106,TADEUSZ,MRÓZ
107,PAWEŁ,BALCEREK
108,SŁAWOMIR,SZULKOWSKI
109,VIKTORIIA,DUNAJ
110,MONIKA,CHOŁDZYŃSKA
111,HENRYKA,WOLFF
112,ALEKSANDRA,TRZNADEL
113,STANISŁAWA,MINDAK
114,OTYLIA,SCHMID
115,MARTA,TARNOWSKA
116,GRZEGORZ,PROŚCIŃSKI
117,MICHAŁ,CHUDZIŃSKI
118,JADWIGA,NOWAKOWSKA
119,GRZEGORZ,GWÓŹDŹ
120,SŁAWOMIR,WŁUSEK
121,PIOTR,PYKA
122,WIESŁAW,SIATKOWSKI
123,KRZYSZTOF,CISEK
124,MARTA,BRODOWSKA
125,FRANCISZKA,ANTOŃCZYK
126,PRZEMYSŁAW,WYPYCH
127,JANUSZ,MILERSKI
128,DAGMARA,NOWAK
129,WITOLD,ZALEWSKI
130,GRZEGORZ,LEWTAK
131,REMIGIUSZ,KRUSZYŃSKI
132,JULIA,JASIŃSKA
133,GENOWEFA,PIOTROWSKA
134,BARBARA,KARWACKA
135,ZOFIA,JĘDRZEJEWSKA
136,JOLANTA,KUBACKA
137,HUBERT,SOROCZYŃSKI
138,KAZIMIERA,SKORUPA
139,JÓZEF,WOJTALIK
140,JAN,SOŁTYSIK
141,WALDEMAR,SMĘTEK
142,ANDRZEJ,NOGA
143,SZYMON,NAGÓRNY
